gene	LAB.A	LAB.B	med15.A	med15.B	WY7.A	WY7.B	WY15.A	WY15.B	WY23.A	WY23.B	
YAL069W	0	0	0	0	0	0	0	0	0	0	
YAL068W-A	0	0	0	0	0	0	0	0	0	0	
YAL068C	1	2	1	0	1	0	1	0	0	0	
YAL067W-A	0	0	0	0	0	0	0	0	0	0	
YAL067C	255	416	1427	808	194	125	294	261	208	201	
YAL066W	7	12	41	37	9	5	15	15	8	2	
YAL065C	10	3	19	7	5	2	3	2	3	1	
YAL064W-B	119	98	147	118	79	38	72	75	72	49	
YAL064C-A	0	0	8	13	1	2	1	2	3	2	
YAL064W	11	11	50	31	11	3	11	14	8	4	
YAL063C-A	37	62	205	171	28	23	33	41	40	28	
YAL063C	451	559	851	734	362	340	495	364	405	411	
YAL062W	10739	12703	33416	32394	8776	9363	12519	6168	9980	10143	
YAL061W	32161	58068	13926	11194	45916	34114	26847	28167	26449	25506	
YAL060W	7633	6617	6654	5873	5947	6774	5492	7047	5699	6873	
YAL059C-A	2	2	5	7	1	5	5	4	7	3	
YAL059W	1466	1567	1207	1117	1115	1024	1754	1380	1348	1197	
YAL058W	1410	1393	2088	2037	1020	1001	1466	1357	1113	1093	
YAL056C-A	9	7	14	8	7	7	3	8	1	2	
YAL056W	7559	7178	6355	6873	5627	5558	7069	7228	6317	6412	
YAL055W	1414	1409	1011	1118	934	945	1068	1438	1095	1017	
YAL054C	2117	2550	3752	3151	1758	1571	2147	1921	1638	1786	
YAL053W	9812	10731	10127	8658	7353	7033	11205	8123	9476	10197	
YAL051W	4808	4216	4424	4441	3223	3560	3769	4070	3664	3874	
YAL049C	2608	2426	3450	3358	1761	1692	2264	2401	1996	1934	
YAL048C	2609	2318	3246	2731	1691	1664	2316	2222	2119	2070	
YAL047W-A	17	17	33	18	10	9	25	15	14	17	
YAL047C	1304	1057	1509	1701	844	893	1124	1249	943	981	
YAL046C	837	759	1166	1047	643	569	852	744	611	665	
YAL045C	8	9	20	9	9	7	13	6	5	13	
YAL044W-A	2128	1979	2681	2879	1485	1637	1943	1756	1574	1793	
YAL044C	5194	4405	7183	6935	3843	3826	4923	5808	4321	4458	
YAL043C	4130	3839	7016	6283	2800	2701	3958	3355	2976	3112	
YAL042C-A	43	49	427	376	35	32	33	28	35	33	
YAL042W	5491	6127	5665	5712	4098	4228	5999	4880	4919	4947	
YAL041W	3127	3092	3752	3459	2433	2235	3314	3098	2663	2728	
YAL040C	3410	5051	4224	2527	2911	2176	5419	2874	2723	2858	
YAL039C	3731	4084	4402	3728	2615	2730	4701	3586	3057	3395	
YAL038W	134742	153235	39310	45801	111485	124415	181120	119473	141661	176118	
YAL037C-B	63	91	13	10	69	59	52	48	34	56	
YAL037C-A	117	101	180	244	109	116	160	116	115	136	
YAL037W	1356	1115	1806	2063	952	1112	1442	1338	1216	1201	
YAL036C	3129	3430	4175	3264	2550	2419	3880	2570	2942	2702	
YAL035W	6687	7791	7284	7519	5232	4939	8324	5762	6431	6346	
YAL034C-B	1	2	5	7	5	0	1	1	1	3	
YAL034W-A	274	244	449	381	151	123	252	298	178	173	
YAL034C	10228	9169	12597	14282	7836	7804	7854	10536	7900	8761	
YAL033W	458	523	556	608	366	294	559	494	371	455	
YAL032C	2439	2593	2131	2191	1930	1814	2301	2241	1816	1940	
YAL031W-A	7	13	18	13	8	3	4	4	7	9	
YAL031C	5381	4553	4944	4641	3932	3661	4545	5010	3719	3848	
YAL030W	1933	1569	1606	1976	1364	1477	1702	1858	1434	1551	
YAL029C	3542	3715	3191	3221	2444	2478	3897	2651	3144	3351	
YAL028W	1664	1361	1451	1901	1093	1199	1125	1725	1088	1177	
YAL027W	1349	1026	1107	1146	807	850	1064	1125	939	951	
YAL026C-A	528	406	610	513	341	337	451	554	583	501	
YAL026C	7625	5712	8880	7090	4712	4878	6565	6622	6530	6540	
YAL025C	3042	3152	3645	3657	2164	2227	4456	2691	3110	3113	
YAL024C	338	476	1471	1306	254	170	396	267	250	214	
YAL023C	2553	2311	5388	5642	1826	1870	2738	2450	2218	2227	
YAL022C	2760	2749	1924	1772	2252	2099	3233	2824	2498	2594	
YAL021C	3269	3427	4311	4035	2461	2172	3431	2896	2553	2752	
YAL020C	1687	1898	2802	2528	1372	1352	1819	1559	1555	1442	
YAL019W-A	1	8	6	6	3	6	7	1	4	3	
YAL019W	3119	3493	5064	4440	2586	2014	3256	2736	2617	2394	
YAL018C	8	9	264	243	3	7	6	8	7	2	
YAL017W	7357	5526	7720	8661	5374	4888	6227	7700	5646	5984	
YAL016C-B	0	0	0	4	0	0	0	0	1	2	
YAL016C-A	13	18	33	33	12	10	7	10	8	6	
YAL016W	6993	5717	6781	7573	5217	5107	5715	6804	5333	5556	
YAL015C	3653	3311	4503	3803	2438	2311	3340	3426	2826	2932	
YAL014C	3407	3220	3096	2836	2515	2489	3548	2830	2669	3054	
YAL013W	4439	3968	3969	4185	3030	3136	3965	3841	3423	3934	
YAL012W	6729	7579	8171	6731	4953	5937	7354	5825	5836	6268	
YAL011W	2275	1923	1905	1856	1502	1440	2016	2092	1685	1859	
YAL010C	1216	1201	1478	1565	775	805	1329	1091	1010	1091	
YAL009W	1690	1582	1349	1731	1247	1311	1982	1729	1569	1550	
YAL008W	3377	3127	4367	5110	2280	2514	3088	3135	2894	3201	
YAL007C	701	716	1093	1202	528	524	848	704	640	697	
YAL005C	25313	17074	22497	29329	17495	21426	20735	26920	19478	26724	
YAL004W	2	4	0	1	8	6	2	6	2	0	
YAL003W	7329	9491	8003	8708	6801	7250	10485	6371	7704	8474	
YAL002W	4127	3576	4780	5162	2881	2824	3729	3670	3136	3552	
YAL001C	4716	3583	3978	3910	2880	2877	3834	4208	3651	3703	
YAR002W	2775	2747	3206	3029	1954	1975	2983	2507	2289	2369	
YAR002C-A	2062	2187	3135	3446	1415	1441	2258	1941	1880	1940	
YAR003W	1813	1521	2076	2227	1226	1250	1826	1749	1546	1544	
YAR007C	1522	1382	2985	3003	905	776	1545	1317	1209	1099	
YAR008W	564	560	1115	867	328	257	553	506	392	370	
YAR014C	4923	4520	5340	4915	3331	3566	4737	4293	3879	3742	
YAR015W	3958	3240	4703	4002	2211	2201	2945	3190	2239	2482	
YAR018C	118	156	552	607	79	99	108	105	84	77	
YAR019C	2215	2716	2998	2853	1813	1380	1938	2167	1602	1429	
YAR019W-A	139	138	182	127	128	104	132	134	112	103	
YAR020C	270	233	643	694	204	185	279	273	277	250	
YAR023C	861	754	1103	1241	628	573	731	783	613	593	
YAR027W	3836	3951	4934	4584	3139	3165	3182	3552	3164	3267	
YAR028W	3159	3163	2764	3165	2509	2922	2929	2795	3111	3359	
YAR029W	824	777	1045	1325	683	746	736	754	751	816	
YAR030C	53	59	143	146	41	22	61	59	46	40	
YAR031W	229	272	583	706	213	231	277	233	251	247	
YAR033W	286	260	245	255	244	230	323	287	279	249	
YAR035W	165	176	756	527	105	107	206	148	144	149	
YAR035C-A	0	1	0	0	0	0	0	0	0	0	
YAR042W	4328	4601	5815	4728	3138	3117	4963	3427	3818	4345	
YAR047C	67	53	124	108	56	37	55	77	55	60	
YAR050W	442	369	771	826	281	308	457	435	331	411	
YAR053W	7	7	15	7	1	1	7	8	0	7	
YAR060C	0	0	0	0	0	0	0	0	0	0	
YAR064W	0	0	0	0	0	0	0	0	0	0	
YAR066W	0	0	0	0	0	0	0	0	0	0	
YAR068W	0	0	0	0	0	0	0	0	0	0	
YAR069C	0	0	0	0	0	0	0	0	0	0	
YAR070C	2	0	3	2	0	0	0	0	0	0	
YAR071W	54	62	105	89	55	42	63	48	52	50	
YAR073W	14	38	244	66	13	7	27	19	20	17	
YAR075W	4	12	107	16	7	3	8	11	7	2	
YBL113C	486	393	944	937	300	329	474	417	337	346	
YBL113W-A	0	0	0	0	1	0	1	0	0	0	
YBL112C	0	0	1	0	1	0	0	0	0	0	
YBL111C	1	0	1	1	0	0	1	0	1	0	
YBL109W	18	14	43	31	9	5	8	15	11	4	
YBL108C-A	16	15	3	3	15	12	19	5	17	9	
YBL108W	35	18	41	40	27	34	32	45	30	21	
YBL107W-A	13	4	14	14	4	6	1	5	3	12	
YBL107C	2363	2356	3054	3783	1554	1737	2632	2000	2079	2286	
YBL106C	228	389	749	1003	181	190	363	203	313	285	
YBL105C	6261	5919	6608	6844	4813	4060	5794	5457	5024	4893	
YBL104C	2329	2092	1978	1742	1501	1330	2221	2051	1764	1578	
YBL103C	10160	8481	8449	8241	7720	8054	8069	8533	8577	9372	
YBL102W	5133	4545	4647	4360	4116	4511	4224	4729	4623	4774	
YBL101C	5705	5606	5068	5128	4834	3531	4374	5202	4455	4553	
YBL100W-C	118	128	49	37	115	69	63	81	88	69	
YBL100C	1	2	0	0	2	2	1	1	0	1	
YBL099W	14475	13560	29375	28957	11133	10720	12127	13669	9974	11418	
YBL098W	3150	2235	5068	5092	1951	2296	2686	3089	2530	2512	
YBL097W	316	275	645	463	192	159	376	279	263	217	
YBL096C	26	56	41	18	27	48	42	28	36	33	
YBL095W	3876	3027	3766	3779	2640	2297	2972	3455	2596	2738	
YBL094C	77	110	64	39	50	57	102	57	78	76	
YBL093C	8925	12686	6700	8963	7149	8775	13624	8071	11973	12861	
YBL092W	7431	10173	11243	12728	7490	7898	12663	6861	8075	9117	
YBL091C-A	1414	1113	1236	1628	942	1152	1364	1609	1158	1225	
YBL091C	6803	5837	7253	7622	5247	5309	6792	5919	5367	5934	
YBL090W	2063	1966	1828	1902	1313	1360	2117	2019	1652	1699	
YBL089W	2177	2086	1907	1711	1571	1664	2126	2025	1673	1810	
YBL088C	2350	1849	3318	3427	1423	1552	2110	2145	1766	1896	
YBL087C	3193	4262	4423	5091	3089	3172	5442	2947	3568	3721	
YBL086C	4160	2764	3653	4341	2805	3041	2537	4512	2359	3021	
YBL085W	2289	2902	4867	5203	1989	1910	2182	2099	2147	2118	
YBL084C	3562	3999	4967	4425	2979	2675	3308	3215	2781	2821	
YBL083C	68	61	90	109	48	45	54	51	40	43	
YBL082C	1304	1293	2184	1971	996	897	1277	1118	1005	1073	
YBL081W	1275	1546	2706	2402	993	961	2123	1060	1270	1350	
YBL080C	1267	895	1232	1316	700	785	1071	1272	867	910	
YBL079W	2782	2727	2752	2618	1862	1569	2965	2535	2174	2044	
YBL078C	5629	4218	4799	5581	3593	3354	4384	5556	3933	4477	
YBL077W	0	5	6	4	3	3	1	4	1	4	
YBL076C	19675	17813	19009	18851	14706	16170	18940	18336	18043	18799	
YBL075C	2714	2418	7300	9401	2373	2204	2951	2475	1964	2131	
YBL074C	726	634	695	772	529	454	666	688	455	576	
YBL073W	1	0	1	1	1	1	0	1	0	0	
YBL072C	5785	7511	7300	8919	5322	4959	8870	5494	5972	6163	
YBL071C-B	7	11	17	18	11	8	8	9	7	16	
YBL071W-A	2437	2655	3734	3985	2041	2143	2850	2199	2303	2473	
YBL071C	26	19	37	33	15	18	18	15	35	12	
YBL070C	2	3	9	2	3	0	1	4	3	1	
YBL069W	2779	4262	4084	4270	2905	3938	3279	2048	4531	5357	
YBL068W-A	0	0	0	0	0	0	0	0	0	0	
YBL068W	1688	1727	2618	2282	1293	1397	2229	1501	1421	1491	
YBL067C	3083	3782	4536	5125	2542	2556	3516	2567	2940	2880	
YBL066C	2379	2421	3799	3510	1618	1474	2200	1989	1952	1929	
YBL065W	13	27	534	396	8	13	13	7	16	14	
YBL064C	16320	11762	17072	19539	10352	11725	13146	17059	11349	13268	
YBL063W	570	792	1039	943	469	301	695	430	405	352	
YBL062W	2	1	1	0	2	2	1	1	0	0	
YBL061C	3679	3438	4487	4386	2442	2119	3626	3458	2676	2476	
YBL060W	2300	2098	2931	2624	1568	1371	2069	2188	1645	1547	
YBL059C-A	1436	1192	1153	1429	949	941	1214	1222	1062	1050	
YBL059W	485	422	432	539	300	305	480	480	376	381	
YBL058W	10017	8727	8017	9208	7226	8233	8473	9814	7629	8714	
YBL057C	1443	1428	1350	1221	1043	1031	1516	1217	1123	1197	
YBL056W	7308	7616	6013	6365	5563	5458	6826	6386	6025	6504	
YBL055C	2552	3209	3216	2486	2111	1858	2440	1975	2221	2178	
YBL054W	4571	6258	5848	5221	4197	3859	5617	3805	4754	4654	
YBL053W	12	31	38	58	12	4	23	23	16	11	
YBL052C	1532	1393	2178	2250	1028	885	1355	1388	1019	1075	
YBL051C	3520	3550	3500	3351	2777	2723	3295	3164	2758	3247	
YBL050W	7162	5848	4969	5236	4795	5072	5610	6474	5521	5702	
YBL049W	11898	10066	9667	10217	9147	9863	11049	10962	10400	11269	
YBL048W	2866	3132	3525	3615	2268	2769	3432	3678	3345	3498	
YBL047C	9751	7744	8679	10097	6705	6315	8689	9491	7650	7938	
YBL046W	1737	1896	2007	2034	1317	1125	1798	1616	1371	1375	
YBL045C	12301	10202	16652	17518	8449	8924	9279	12213	8272	9303	
YBL044W	7	6	6	6	2	11	9	7	8	6	
YBL043W	5803	6900	2768	2895	4044	5968	5517	4312	6787	8598	
YBL042C	1944	3921	3446	2581	2175	2016	3161	968	2313	2407	
YBL041W	5543	6747	6008	6121	4462	4644	6809	5185	5534	6021	
YBL040C	1196	1018	1618	1402	822	679	979	1033	715	834	
YBL039W-B	795	766	786	662	624	540	749	904	635	626	
YBL039C	2786	3262	3774	3045	2138	2064	4778	2105	2674	2527	
YBL039C-A	0	0	0	0	0	0	0	0	0	0	
YBL038W	3454	2756	3065	3146	2251	2671	2825	2954	2498	2439	
YBL037W	1191	1100	2157	1803	677	601	1122	1011	812	767	
YBL036C	7676	6933	6977	8794	5290	5608	7618	7059	6688	6951	
YBL035C	605	556	2166	2063	360	328	725	535	452	408	
YBL034C	988	843	2489	3223	584	453	961	801	661	602	
YBL033C	11109	9737	11126	11085	7273	8298	13388	10670	10920	11938	
YBL032W	1675	1845	2011	2075	1289	1414	1809	1491	1513	1610	
YBL031W	133	207	295	264	105	86	182	161	127	105	
YBL030C	13330	16882	13494	11048	12356	9943	13686	9666	9991	10419	
YBL029C-A	2500	2701	1772	1843	1958	2205	1903	2490	1958	2066	
YBL029W	2123	1781	2592	3326	1317	1731	3141	2590	1834	1913	
YBL028C	1502	1405	1473	1557	911	861	2054	1363	1330	1362	
YBL027W	12145	15267	12739	14126	10946	11636	18732	11222	12353	12479	
YBL026W	974	1102	1076	1151	875	788	1295	1087	985	1091	
YBL025W	1236	1191	1297	1536	1013	915	1412	1312	1087	1195	
YBL024W	2683	3075	3354	3195	1961	2017	3888	2363	2651	2531	
YBL023C	924	996	2136	2004	605	445	1037	818	634	596	
YBL022C	6671	6133	7713	8052	4408	4309	7303	6066	5837	5731	
YBL021C	1249	1170	733	915	810	914	1013	959	884	975	
YBL020W	2210	2530	3581	3387	1769	1690	2615	1990	1876	1971	
YBL019W	2383	2108	2681	2820	1712	1578	2079	2131	1709	1873	
YBL018C	1223	1094	1307	1248	1000	912	1442	1242	1152	1103	
YBL017C	6648	6883	7725	8715	4705	4474	6261	5949	5212	5501	
YBL016W	2254	2433	2799	2210	1869	1845	2606	2238	2028	2150	
YBL015W	3473	4650	6454	6041	3098	3013	3376	3172	2812	3456	
YBL014C	1735	1751	2127	1978	1305	1138	1997	1550	1498	1467	
YBL013W	171	209	223	168	112	105	179	146	150	141	
YBL012C	0	0	3	5	2	0	2	0	0	0	
YBL011W	3581	4575	4346	3516	3142	3156	4406	3206	3595	3859	
YBL010C	802	646	884	938	520	491	850	755	623	593	
YBL009W	516	632	1156	706	419	292	576	437	389	317	
YBL008W-A	8	10	7	3	3	5	10	5	3	5	
YBL008W	1716	1634	2565	2119	1224	1066	1816	1571	1296	1244	
YBL007C	9641	8456	9447	10532	7054	6917	8017	8375	7839	8240	
YBL006C	3143	2726	2089	2574	2162	2643	2853	2986	2684	2789	
YBL006W-A	81	84	140	92	51	74	70	66	76	57	
YBL005W	2530	2602	4160	3543	1953	1540	2482	2220	2124	1935	
YBL004W	2850	3484	3468	3401	2142	2124	2982	2344	2581	2491	
YBL003C	3140	1891	5465	5792	1655	1959	2682	2997	2127	2607	
YBL002W	3366	3197	4033	4392	2534	3071	4205	4141	3553	4285	
YBL001C	7229	6232	8615	9150	5090	5229	6792	7286	6125	6852	
YBR001C	9613	8347	11859	12043	7129	7249	7021	8353	7149	7060	
YBR002C	1379	1243	1446	1926	1025	1292	1629	1295	1393	1561	
YBR003W	3371	3038	4193	4859	2576	2575	2665	3367	2396	2652	
YBR004C	3023	4651	3398	2946	3068	2863	2469	2286	2913	2949	
YBR005W	13304	19830	8075	3823	14379	12686	10413	8030	12743	12215	
YBR006W	9096	8333	11744	10748	7022	6330	7532	9232	7746	8185	
YBR007C	2034	1468	2851	3011	1026	1105	1950	2029	1487	1570	
YBR008C	1078	924	2349	2281	767	806	1120	965	841	821	
YBR009C	9816	8843	6219	7029	7264	6973	8723	10984	7970	7651	
YBR010W	11980	9113	9327	10819	7239	8149	10459	12503	9271	9281	
YBR011C	10799	12384	15856	17320	8436	8981	11036	9665	8633	10278	
YBR012C	74	109	181	274	82	96	198	115	127	124	
YBR013C	935	795	1572	1748	624	633	819	899	669	739	
YBR014C	3050	2876	3134	3117	2402	2106	2944	3109	2379	2265	
YBR015C	5175	5948	7092	6359	4506	3879	5096	4270	4113	4169	
YBR016W	6391	7169	8744	5752	5403	5243	5330	4760	5076	5713	
YBR017C	2938	2869	3541	3530	1979	1916	2955	2469	2282	2336	
YBR018C	747	716	1103	997	593	546	495	648	592	617	
YBR019C	97	144	214	307	64	96	107	86	128	94	
YBR020W	414	456	1067	1081	331	287	489	427	344	347	
YBR021W	1348	2108	2201	2407	1283	1089	1921	995	1149	999	
YBR022W	1352	1343	1136	1325	926	1039	1402	1357	1198	1108	
YBR023C	3233	3345	6642	7178	2321	1767	3287	2984	2710	2535	
YBR024W	2439	2042	2320	2727	1533	1600	2008	2406	1844	2006	
YBR025C	10329	12718	16302	18097	9599	10016	13888	10719	10670	11905	
YBR026C	5186	5887	5815	6016	4628	3080	4310	4561	3502	3524	
YBR027C	120	108	131	113	78	76	111	124	117	123	
YBR028C	4676	4339	4938	4149	3491	2909	4760	4266	3783	3770	
YBR029C	2405	2929	2086	1942	2155	1707	2364	2128	1838	1942	
YBR030W	1676	1840	1714	1500	1345	1052	1878	1505	1260	1169	
YBR031W	3483	5300	6260	6884	3312	3492	5483	3061	3926	3964	
YBR032W	6	30	5	0	13	9	16	8	11	12	
YBR033W	1913	1886	3126	3331	1345	1382	1477	1577	1494	1555	
YBR034C	5643	4751	6798	7310	3330	3962	9630	5792	6756	7422	
YBR035C	9451	9319	10912	11961	7262	7889	9128	8634	8133	8961	
YBR036C	8359	9664	9445	8399	7125	6973	7049	6899	7155	7532	
YBR037C	1940	1489	1716	1875	1354	1338	1368	1927	1258	1433	
YBR038W	85	117	446	405	55	46	73	78	71	59	
YBR039W	6773	6860	11151	12766	5036	5582	5857	5754	4824	5661	
YBR040W	315	342	1026	765	229	209	248	241	259	277	
YBR041W	3530	2764	3780	4315	2363	2972	3051	3502	3037	3266	
YBR042C	1045	917	1735	2351	697	877	1483	1028	1086	1213	
YBR043C	7976	5550	10952	10173	4590	4331	6863	6051	5184	5211	
YBR044C	2589	2499	2573	2449	1865	1635	2388	2593	1967	2002	
YBR045C	3542	2869	4198	4429	2995	3247	2739	3551	2940	3224	
YBR046C	23979	22027	15772	16448	18444	19323	19773	19318	22458	24905	
YBR047W	7209	5595	5705	6623	5032	5595	5741	6469	5824	6234	
YBR048W	4068	5382	5840	6714	3855	3779	7260	3878	4376	4726	
YBR049C	3425	3727	3540	3385	2801	2566	3480	3116	2814	2982	
YBR050C	555	965	1014	956	586	404	439	455	461	435	
YBR051W	9	10	19	13	7	3	5	3	8	3	
YBR052C	3778	3941	2977	3122	2905	3061	3329	3546	3103	3463	
YBR053C	3045	2220	3214	3558	1893	1998	2281	2955	2031	2414	
YBR054W	112699	104880	44003	45956	96943	114424	105821	110425	95394	123467	
YBR055C	2496	2445	3274	3169	1669	1595	2711	2178	2068	2048	
YBR056W	5836	4167	7666	8431	3538	3648	3837	5429	3657	4199	
YBR056W-A	1715	3089	1802	616	1931	1906	1326	766	1689	1655	
YBR056C-B	6	8	30	16	3	9	7	6	10	5	
YBR057C	3638	3827	4217	4325	2690	2881	3719	3116	3057	3283	
YBR058C	4146	3839	4033	3867	2886	2873	3976	3609	3416	3176	
YBR058C-A	3783	2916	2596	3414	2440	2932	3547	3408	3377	3177	
YBR059C	5209	3880	7428	9344	3620	3885	4799	5869	4332	4988	
YBR060C	1074	1191	1766	1719	826	786	1322	982	965	960	
YBR061C	1560	1480	1638	1757	1090	1212	1842	1391	1334	1362	
YBR062C	2057	2187	2420	2644	1453	1518	2020	1859	1713	1724	
YBR063C	3219	3354	4699	5290	2492	2603	3421	3218	2775	2805	
YBR064W	2	2	3	3	3	1	0	1	0	2	
YBR065C	4088	3524	2985	3149	2728	3038	3872	3434	3431	3513	
YBR066C	5442	13448	3141	2206	7512	7118	10767	4357	7139	6519	
YBR067C	14765	53844	27255	35240	24627	38230	53614	8260	38589	46012	
YBR068C	45958	55619	26005	24175	47185	55175	39292	36438	52457	55171	
YBR069C	1160	1388	11813	12184	808	1085	898	698	1121	1223	
YBR070C	419	340	1103	1140	312	315	398	366	373	378	
YBR071W	2312	2532	4124	4530	1546	1624	1742	1712	2094	2353	
YBR072W	100581	95089	26431	37487	88086	111017	106105	125202	85371	120469	
YBR072C-A	1	1	3	3	1	2	3	4	4	6	
YBR073W	3735	3336	5017	5179	2584	2638	3277	3227	3339	3506	
YBR074W	2975	3019	3466	3425	2172	2028	3148	2632	2378	2435	
YBR076W	1284	1008	2587	1975	822	546	772	1118	747	758	
YBR076C-A	1312	1144	1042	1070	990	1156	1130	1368	1212	1235	
YBR077C	2449	2170	1865	1917	1718	1839	2364	2294	2018	2160	
YBR078W	5885	11621	8042	8704	6525	6238	6386	4327	6068	7057	
YBR079C	6411	8075	8714	8499	5466	5143	8438	5524	6267	6237	
YBR080C	4522	4489	4546	4413	3344	3301	4596	4157	4035	3849	
YBR081C	3355	3236	11518	9008	2413	2061	3324	3060	2833	2432	
YBR082C	8617	10134	8930	10835	7777	8290	10961	9040	9304	10473	
YBR083W	6593	10274	4047	2393	7596	4541	6039	3599	5071	4434	
YBR084W	2287	3719	3944	2778	2051	2029	4443	1815	2655	2604	
YBR084C-A	11130	13167	12996	15292	9379	9797	16006	10033	10840	11206	
YBR085W	63	96	437	394	44	59	212	90	87	88	
YBR085C-A	35784	34622	22321	21502	31074	31826	34050	34435	33715	34480	
YBR086C	6790	4861	6960	7231	4733	4485	5306	6872	4636	5255	
YBR087W	660	549	1157	1180	413	385	657	622	423	418	
YBR088C	460	292	1585	1668	164	184	385	473	261	281	
YBR089W	15	13	51	53	8	10	14	15	12	18	
YBR089C-A	4052	4548	3815	3703	3480	3390	3799	3525	3409	3674	
YBR090C	229	254	164	117	202	137	214	207	220	207	
YBR091C	695	686	606	629	534	470	863	712	642	703	
YBR092C	1790	2932	2113	1668	1474	1630	3794	1467	2414	2793	
YBR093C	794	722	1018	1134	548	545	872	775	672	617	
YBR094W	1832	1339	2134	2264	1115	1075	1518	1675	1239	1239	
YBR095C	2721	2658	1926	2210	1862	1707	2663	2490	2165	2140	
YBR096W	1151	988	1600	1706	764	714	1089	1090	880	828	
YBR097W	1467	1012	1554	1626	749	762	1205	1299	846	983	
YBR098W	526	471	1055	949	277	269	473	481	297	283	
YBR099C	161	153	236	254	141	158	151	177	151	151	
YBR101C	3440	2702	3391	3881	2278	2315	3178	3322	2764	2889	
YBR102C	2622	2093	3090	2772	1842	1760	2392	2219	2087	2121	
YBR103W	4055	3208	3616	3402	2687	2711	3574	3389	3031	2924	
YBR103C-A	8	11	12	16	7	5	8	5	5	4	
YBR104W	5660	4071	5188	6086	3371	4260	5631	5184	5010	5376	
YBR105C	26028	27635	13209	13859	22392	24483	37498	24737	27511	31518	
YBR106W	8685	12052	9417	9510	8011	9120	14202	7742	10446	11270	
YBR107C	997	814	1019	1046	708	705	893	932	711	738	
YBR108W	3727	3143	4570	4531	2673	2767	3393	3762	3151	3471	
YBR109C	8237	6154	7775	7857	5673	5990	7925	7759	6604	6548	
YBR109W-A	115	76	70	71	81	69	94	98	81	85	
YBR110W	3551	3245	3565	3240	2800	2473	3272	3459	2767	2716	
YBR111C	22511	20246	20678	24726	16575	19316	20903	23096	20177	23398	
YBR111W-A	1606	1249	1885	2139	1168	1366	1434	1695	1418	1631	
YBR112C	2908	2972	3578	3422	1885	1878	3241	2498	2418	2618	
YBR113W	5	2	6	2	2	3	4	2	3	3	
YBR114W	8229	10675	5912	5096	7967	7004	11612	7077	8576	8312	
YBR115C	0	0	0	0	0	0	0	0	0	0	
YBR116C	353	154	379	461	183	183	174	419	165	235	
YBR117C	6059	2968	6442	7794	3419	3277	3473	6606	3068	4216	
YBR118W	7322	7603	8229	9267	6087	6106	8869	6608	6827	7306	
YBR119W	2289	1942	2149	2548	1626	1515	2101	2156	1772	1742	
YBR120C	1297	1304	981	1178	922	983	1349	1345	1011	938	
YBR121C	5678	7183	8173	8000	4639	4445	7544	4921	5486	5330	
YBR121C-A	0	0	0	0	0	0	0	0	0	0	
YBR122C	2994	2440	1946	2489	1842	2121	2758	2856	2186	2296	
YBR123C	2569	2272	2808	2787	1745	1581	2292	2283	1797	1776	
YBR124W	60	66	258	259	52	44	62	61	48	49	
YBR125C	2309	2862	2562	2002	1868	1562	2598	1870	1755	1962	
YBR126C	22744	18029	13474	15663	19008	18559	13350	26071	15677	18060	
YBR126W-A	4147	3507	2682	3040	3261	3080	3385	3851	2967	3405	
YBR126W-B	1986	1816	1506	1559	1833	1767	1613	2153	1521	1788	
YBR127C	16563	14088	20036	21938	12176	13998	15811	15030	14470	16059	
YBR128C	1533	856	880	1012	770	897	1020	1406	875	961	
YBR129C	3090	3051	2218	2261	2239	2498	2604	2759	2563	2575	
YBR130C	2086	1869	1677	1889	1403	1499	2109	2222	1761	1778	
YBR131W	1151	953	1651	1907	795	803	1204	1309	1008	1039	
YBR131C-A	3	0	10	5	1	0	0	1	2	0	
YBR132C	2908	4144	5240	4144	2849	1726	1992	2062	1818	1615	
YBR133C	1619	1738	2781	2250	1237	1158	1473	1422	1219	1286	
YBR134W	5	11	29	19	7	2	10	5	13	4	
YBR135W	1213	1321	1434	1586	916	982	1300	1232	1046	1072	
YBR136W	1602	1265	2430	2246	985	983	1465	1371	1163	1082	
YBR137W	1867	1535	4880	6096	1203	1232	1379	1601	1265	1344	
YBR138C	96	87	296	324	64	53	66	88	50	53	
YBR139W	4646	3000	5606	6104	2849	2949	2979	4707	2812	3210	
YBR140C	9332	7010	7850	8042	6176	6458	7883	8650	6765	7771	
YBR141C	1377	1367	1583	1438	955	1035	1859	1186	1276	1322	
YBR141W-A	180	130	152	139	99	107	113	117	103	123	
YBR142W	3769	4760	4288	2855	3200	3047	5131	3105	3970	3619	
YBR143C	6997	7440	7975	8352	5248	5533	8445	6359	6570	6453	
YBR144C	10	3	10	10	3	13	10	9	12	16	
YBR145W	12573	10075	8094	6023	10507	11970	9922	10475	12693	13518	
YBR146W	4685	4096	3446	3832	3194	3328	4596	4437	3667	3851	
YBR147W	17449	9526	8228	7681	13757	14420	10261	17194	13143	13767	
YBR148W	957	770	1592	1708	850	761	756	1241	859	810	
YBR149W	16559	16661	15566	13814	14313	12919	10671	13193	11724	12133	
YBR150C	2415	3098	2803	2012	2039	1395	1855	1580	1860	1487	
YBR151W	10617	9815	9141	10286	8331	9154	9581	9892	9780	10793	
YBR152W	1150	1129	1096	1044	805	692	1140	986	868	831	
YBR153W	2734	2536	2746	2553	1883	1776	2836	2490	2130	2136	
YBR154C	2629	2888	3446	3897	1939	2176	3397	2254	2579	2769	
